Frequence;Cepage;Couleur_Actuelle;Statut
14482;Chardonnay;white;OK
14291;Pinot Noir;red;OK
12800;Cabernet Sauvignon;red;OK
10062;Red Blend;red;OK
7347;Bordeaux-style Red Blend;red;OK
6320;Sauvignon Blanc;white;OK
5825;Syrah;red;OK
5524;Riesling;white;OK
5070;Merlot;red;OK
3799;Zinfandel;red;OK
3345;Sangiovese;red;OK
3208;Malbec;red;OK
2824;White Blend;white;OK
2817;Rosé;rose;OK
2556;Tempranillo;red;OK
2241;Nebbiolo;red;OK
2216;Portuguese Red;red;OK
2004;Sparkling Blend;white;OK
1970;Shiraz;red;OK
1682;Corvina, Rondinella, Molinara;NON DÉFINI;A FAIRE
1505;Rhône-style Red Blend;red;OK
1365;Pinot Gris;white;OK
1365;Barbera;red;OK
1363;Cabernet Franc;red;OK
1346;Sangiovese Grosso;NON DÉFINI;A FAIRE
1305;Pinot Grigio;white;OK
1263;Viognier;white;OK
1261;Bordeaux-style White Blend;white;OK
1238;Champagne Blend;white;OK
1058;Port;NON DÉFINI;A FAIRE
1042;Grüner Veltliner;white;OK
982;Gewürztraminer;white;OK
941;Portuguese White;white;OK
897;Petite Sirah;red;OK
761;Carmenère;red;OK
756;Tempranillo Blend;NON DÉFINI;A FAIRE
746;Chenin Blanc;white;OK
622;Glera;white;OK
603;Grenache;red;OK
594;Prosecco;white;OK
537;Albariño;white;OK
535;Gamay;red;OK
470;Pinot Blanc;NON DÉFINI;A FAIRE
458;Nero d'Avola;red;OK
430;Moscato;white;OK
409;Rhône-style White Blend;white;OK
402;Garganega;white;OK
401;Garnacha;NON DÉFINI;A FAIRE
367;Torrontés;white;OK
358;Dolcetto;red;OK
329;Montepulciano;red;OK
317;Aglianico;red;OK
317;Meritage;red;OK
316;Verdejo;white;OK
305;Cabernet Blend;NON DÉFINI;A FAIRE
273;Primitivo;red;OK
261;Sauvignon;NON DÉFINI;A FAIRE
243;Cabernet Sauvignon-Merlot;NON DÉFINI;A FAIRE
232;Vermentino;white;OK
227;Blaufränkisch;NON DÉFINI;A FAIRE
221;Tinta de Toro;NON DÉFINI;A FAIRE
219;Zweigelt;NON DÉFINI;A FAIRE
216;Sémillon;NON DÉFINI;A FAIRE
206;Petit Verdot;red;OK
200;Pinotage;NON DÉFINI;A FAIRE
182;Roussanne;NON DÉFINI;A FAIRE
180;Touriga Nacional;NON DÉFINI;A FAIRE
174;Mourvèdre;red;OK
168;Muscat;NON DÉFINI;A FAIRE
152;Bonarda;NON DÉFINI;A FAIRE
151;Cabernet Sauvignon-Syrah;NON DÉFINI;A FAIRE
151;G-S-M;NON DÉFINI;A FAIRE
150;Monastrell;NON DÉFINI;A FAIRE
150;Grillo;NON DÉFINI;A FAIRE
149;Fiano;white;OK
148;Mencía;NON DÉFINI;A FAIRE
140;Tannat;red;OK
137;Friulano;white;OK
133;Pinot Nero;NON DÉFINI;A FAIRE
128;Marsanne;NON DÉFINI;A FAIRE
126;Pinot Bianco;NON DÉFINI;A FAIRE
120;Agiorgitiko;red;OK
113;Sagrantino;NON DÉFINI;A FAIRE
110;Fumé Blanc;NON DÉFINI;A FAIRE
110;Viura;NON DÉFINI;A FAIRE
109;Malbec-Merlot;NON DÉFINI;A FAIRE
103;Sherry;NON DÉFINI;A FAIRE
103;Godello;NON DÉFINI;A FAIRE
102;St. Laurent;NON DÉFINI;A FAIRE
99;Melon;white;OK
99;Prugnolo Gentile;NON DÉFINI;A FAIRE
97;Shiraz-Cabernet Sauvignon;NON DÉFINI;A FAIRE
95;Greco;NON DÉFINI;A FAIRE
91;Shiraz-Viognier;NON DÉFINI;A FAIRE
86;Falanghina;NON DÉFINI;A FAIRE
85;Semillon-Sauvignon Blanc;white;OK
85;Tempranillo-Cabernet Sauvignon;NON DÉFINI;A FAIRE
84;Cabernet Sauvignon-Shiraz;NON DÉFINI;A FAIRE
82;Cortese;NON DÉFINI;A FAIRE
82;Tinto del Pais;NON DÉFINI;A FAIRE
82;Merlot-Cabernet Sauvignon;NON DÉFINI;A FAIRE
82;Negroamaro;red;OK
78;Grenache Blanc;NON DÉFINI;A FAIRE
77;Alvarinho;NON DÉFINI;A FAIRE
76;Nerello Mascalese;NON DÉFINI;A FAIRE
75;Tinto Fino;NON DÉFINI;A FAIRE
75;Chardonnay-Viognier;NON DÉFINI;A FAIRE
75;Turbiana;NON DÉFINI;A FAIRE
74;Vernaccia;NON DÉFINI;A FAIRE
74;Carignan;NON DÉFINI;A FAIRE
73;Tokaji;NON DÉFINI;A FAIRE
72;Arinto;NON DÉFINI;A FAIRE
72;Petite Verdot;NON DÉFINI;A FAIRE
69;Verdelho;NON DÉFINI;A FAIRE
67;Austrian Red Blend;NON DÉFINI;A FAIRE
