iter	MultiClass
0	2.241334878
1	2.184681786
2	2.133783084
3	2.092145879
4	2.057784067
5	2.02826654
6	1.994501739
7	1.959615431
8	1.934434821
9	1.915366534
10	1.890965695
11	1.868719563
12	1.855657001
13	1.83429772
14	1.820355314
15	1.802522739
16	1.784124896
17	1.770783009
18	1.752775585
19	1.740088939
20	1.727175425
21	1.712577129
22	1.700414706
23	1.692589768
24	1.681302115
25	1.667252094
26	1.656524872
27	1.645905474
28	1.634723609
29	1.618200007
30	1.6088677
31	1.600666884
32	1.590429248
33	1.57894781
34	1.568320923
35	1.558958148
36	1.547008174
37	1.535763053
38	1.527361203
39	1.523947839
40	1.517544954
41	1.512707668
42	1.508939945
43	1.500835928
44	1.495751701
45	1.488655984
46	1.484372032
47	1.477739163
48	1.471928255
49	1.466874603
50	1.462522125
51	1.45737836
52	1.453415409
53	1.449148746
54	1.444034968
55	1.438299209
56	1.431771789
57	1.428779508
58	1.428384395
59	1.42577345
60	1.417863711
61	1.414652166
62	1.408847144
63	1.404322743
64	1.398204137
65	1.394619168
66	1.390618366
67	1.385351012
68	1.380115013
69	1.375763886
70	1.371261965
71	1.366713103
72	1.363361517
73	1.359690383
74	1.356520409
75	1.350705638
76	1.346589964
77	1.34052862
78	1.334818329
79	1.330018453
80	1.326538115
81	1.321796664
82	1.319200124
83	1.313482553
84	1.308631641
85	1.303748687
86	1.301027641
87	1.297824417
88	1.29357791
89	1.288432359
90	1.284799018
91	1.282409453
92	1.279388537
93	1.275199302
94	1.272207978
95	1.266765111
96	1.263038887
97	1.257993513
98	1.254401698
99	1.251540425
100	1.248556212
101	1.245706685
102	1.242314714
103	1.238462763
104	1.235773507
105	1.232384774
106	1.228864483
107	1.225077513
108	1.220941241
109	1.216612154
110	1.213567208
111	1.209692878
112	1.205784759
113	1.201900212
114	1.19849584
115	1.194906159
116	1.191416969
117	1.188189567
118	1.184793562
119	1.182171777
120	1.178177346
121	1.174954667
122	1.17224056
123	1.168866765
124	1.166607696
125	1.163552496
126	1.160938459
127	1.158660709
128	1.155094769
129	1.153195452
130	1.150326813
131	1.147746045
132	1.1445984
133	1.140964352
134	1.138766676
135	1.136405414
136	1.13318291
137	1.128878618
138	1.126313417
139	1.123295407
140	1.120195738
141	1.117979414
142	1.115251086
143	1.112143639
144	1.108641163
145	1.106681961
146	1.103759338
147	1.100052017
148	1.097555215
149	1.095480578
150	1.092886192
151	1.090742573
152	1.088214548
153	1.085953165
154	1.08202507
155	1.080017612
156	1.077596451
157	1.075815791
158	1.073296065
159	1.07121276
160	1.068687198
