iter	Passed	Remaining
0	18	18250
1	36	18394
2	51	17059
3	70	17605
4	90	17920
5	109	18137
6	128	18176
7	146	18142
8	161	17781
9	178	17665
10	194	17446
11	210	17330
12	232	17685
13	250	17654
14	269	17729
15	283	17460
16	299	17305
17	318	17394
18	336	17394
19	354	17377
20	369	17247
21	383	17067
22	399	16958
23	418	17008
24	435	16989
25	453	16993
26	470	16966
27	484	16821
28	498	16678
29	515	16651
30	531	16626
31	547	16549
32	562	16486
33	580	16497
34	594	16380
35	613	16430
36	632	16457
37	648	16405
38	662	16326
39	668	16044
40	684	16012
41	697	15919
42	701	15615
43	715	15552
44	728	15469
45	747	15507
46	764	15496
47	781	15492
48	799	15516
49	812	15442
50	828	15407
51	841	15339
52	859	15354
53	876	15357
54	894	15368
55	911	15360
56	924	15301
57	937	15234
58	940	15004
59	946	14821
60	962	14818
61	979	14816
62	997	14841
63	1011	14790
64	1024	14742
65	1043	14768
66	1056	14716
67	1071	14679
68	1085	14640
69	1102	14653
70	1121	14667
71	1134	14620
72	1151	14624
73	1168	14626
74	1177	14518
75	1192	14494
76	1206	14458
77	1219	14415
78	1232	14373
79	1246	14330
80	1259	14292
81	1273	14257
82	1287	14225
83	1301	14191
84	1320	14212
85	1334	14179
86	1347	14140
87	1360	14103
88	1379	14118
89	1395	14114
90	1414	14125
91	1431	14130
92	1444	14092
93	1463	14100
94	1476	14063
95	1489	14027
96	1502	13991
97	1517	13963
98	1533	13960
99	1550	13955
100	1568	13965
101	1584	13949
102	1597	13914
103	1610	13879
104	1624	13844
105	1637	13812
106	1650	13778
107	1669	13784
108	1685	13780
109	1704	13792
110	1721	13789
111	1735	13757
112	1748	13727
113	1767	13736
114	1784	13733
115	1802	13736
116	1815	13705
117	1829	13672
118	1846	13669
119	1865	13678
120	1878	13646
121	1891	13614
122	1904	13582
123	1918	13550
124	1931	13521
125	1948	13516
126	1963	13500
127	1980	13493
128	1994	13464
129	2013	13472
130	2029	13465
131	2044	13442
132	2060	13433
133	2079	13440
134	2093	13411
135	2110	13408
136	2127	13400
137	2140	13371
138	2156	13354
139	2174	13358
140	2193	13360
141	2206	13332
142	2225	13336
143	2238	13306
144	2255	13298
145	2269	13273
146	2287	13272
147	2304	13264
148	2320	13255
149	2335	13235
150	2351	13219
151	2364	13190
152	2378	13164
153	2396	13163
