Frequence;Cepage;Couleur_Actuelle;Statut
14482;Chardonnay;white;OK
14291;Pinot Noir;red;OK
12800;Cabernet Sauvignon;red;OK
10062;Red Blend;red;OK
7347;Bordeaux-style Red Blend;red;OK
6320;Sauvignon Blanc;white;OK
5825;Syrah;red;OK
5524;Riesling;white;OK
5070;Merlot;red;OK
3799;Zinfandel;red;OK
3345;Sangiovese;red;OK
3208;Malbec;red;OK
2824;White Blend;white;OK
2817;Rosé;rose;OK
2556;Tempranillo;red;OK
2241;Nebbiolo;red;OK
2216;Portuguese Red;red;OK
2004;Sparkling Blend;white;OK
1970;Shiraz;red;OK
1682;Corvina, Rondinella, Molinara;NON DÉFINI;A FAIRE
1505;Rhône-style Red Blend;red;OK
1365;Pinot Gris;white;OK
1365;Barbera;red;OK
1363;Cabernet Franc;red;OK
1346;Sangiovese Grosso;red;OK
1305;Pinot Grigio;white;OK
1263;Viognier;white;OK
1261;Bordeaux-style White Blend;white;OK
1238;Champagne Blend;white;OK
1058;Port;red;OK
1042;Grüner Veltliner;white;OK
982;Gewürztraminer;white;OK
941;Portuguese White;white;OK
897;Petite Sirah;red;OK
761;Carmenère;red;OK
756;Tempranillo Blend;red;OK
746;Chenin Blanc;white;OK
622;Glera;white;OK
603;Grenache;red;OK
594;Prosecco;white;OK
537;Albariño;white;OK
535;Gamay;red;OK
470;Pinot Blanc;white;OK
458;Nero d'Avola;red;OK
430;Moscato;white;OK
409;Rhône-style White Blend;white;OK
402;Garganega;white;OK
401;Garnacha;red;OK
367;Torrontés;white;OK
358;Dolcetto;red;OK
329;Montepulciano;red;OK
317;Meritage;red;OK
317;Aglianico;red;OK
316;Verdejo;white;OK
305;Cabernet Blend;red;OK
273;Primitivo;red;OK
261;Sauvignon;white;OK
243;Cabernet Sauvignon-Merlot;red;OK
232;Vermentino;white;OK
227;Blaufränkisch;red;OK
221;Tinta de Toro;red;OK
219;Zweigelt;red;OK
216;Sémillon;white;OK
206;Petit Verdot;red;OK
200;Pinotage;red;OK
182;Roussanne;white;OK
180;Touriga Nacional;red;OK
174;Mourvèdre;red;OK
168;Muscat;white;OK
152;Bonarda;red;OK
151;G-S-M;red;OK
151;Cabernet Sauvignon-Syrah;red;OK
150;Grillo;white;OK
150;Monastrell;red;OK
149;Fiano;white;OK
148;Mencía;red;OK
140;Tannat;red;OK
137;Friulano;white;OK
133;Pinot Nero;red;OK
128;Marsanne;white;OK
126;Pinot Bianco;white;OK
120;Agiorgitiko;red;OK
113;Sagrantino;red;OK
110;Fumé Blanc;white;OK
110;Viura;white;OK
109;Malbec-Merlot;red;OK
103;Sherry;white;OK
103;Godello;white;OK
102;St. Laurent;red;OK
99;Melon;white;OK
99;Prugnolo Gentile;red;OK
97;Shiraz-Cabernet Sauvignon;red;OK
95;Greco;white;OK
91;Shiraz-Viognier;red;OK
86;Falanghina;white;OK
85;Semillon-Sauvignon Blanc;white;OK
85;Tempranillo-Cabernet Sauvignon;red;OK
84;Cabernet Sauvignon-Shiraz;red;OK
82;Cortese;white;OK
82;Merlot-Cabernet Sauvignon;red;OK
82;Tinto del Pais;red;OK
82;Negroamaro;red;OK
78;Grenache Blanc;white;OK
77;Alvarinho;white;OK
76;Nerello Mascalese;red;OK
75;Tinto Fino;red;OK
75;Chardonnay-Viognier;white;OK
75;Turbiana;white;OK
74;Carignan;red;OK
74;Vernaccia;white;OK
73;Tokaji;white;OK
72;Arinto;white;OK
72;Petite Verdot;red;OK
69;Verdelho;white;OK
67;Austrian Red Blend;red;OK
67;Assyrtico;white;OK
66;Carignano;red;OK
64;Arneis;white;OK
64;Grenache-Syrah;red;OK
63;Sauvignon Blanc-Semillon;white;OK
61;Xinomavro;red;OK
61;Trebbiano;white;OK
61;Ribolla Gialla;white;OK
60;Lambrusco;red;OK
60;Insolia;white;OK
60;Tempranillo-Garnacha;red;OK
58;Malbec-Cabernet Sauvignon;red;OK
58;Cabernet Sauvignon-Carmenère;red;OK
56;Weissburgunder;white;OK
56;Portuguese Sparkling;white;OK
55;Silvaner;white;OK
55;Muscat Canelli;white;OK
55;Cabernet Sauvignon-Malbec;red;OK
54;Syrah-Cabernet;red;OK
54;Spätburgunder;red;OK
54;Pedro Ximénez;white;OK
54;Verdicchio;white;OK
52;Cabernet Merlot;red;OK
52;Alsace white blend;white;OK
51;Vidal Blanc;white;OK
48;Loureiro;white;OK
47;Austrian white blend;white;OK
47;Syrah-Grenache;red;OK
47;Petit Manseng;white;OK
46;Cabernet Sauvignon-Cabernet Franc;red;OK
45;Sylvaner;white;OK
44;Moschofilero;white;OK
44;Malvasia;white;OK
43;Cannonau;red;OK
42;Alicante Bouschet;red;OK
42;Moscatel;white;OK
40;Charbono;red;OK
40;Traminer;white;OK
