Mot;Frequence;Statut
black;26591;NOUVEAU
rich;21433;NOUVEAU
there;18378;NOUVEAU
full;14376;NOUVEAU
fruits;12314;NOUVEAU
cabernet;11999;NOUVEAU
mouth;11828;NOUVEAU
like;11712;NOUVEAU
texture;10787;NOUVEAU
while;10563;NOUVEAU
you;10377;NOUVEAU
pinot;9525;NOUVEAU
long;9017;NOUVEAU
all;9003;NOUVEAU
just;8925;NOUVEAU
sauvignon;8745;NOUVEAU
fine;8360;NOUVEAU
one;8172;NOUVEAU
here;8150;NOUVEAU
will;7934;NOUVEAU
cherries;7877;NOUVEAU
also;7818;NOUVEAU
juicy;7526;NOUVEAU
out;7517;NOUVEAU
mouthfeel;7403;NOUVEAU
into;7384;NOUVEAU
little;7355;NOUVEAU
merlot;7292;NOUVEAU
over;7275;NOUVEAU
than;7172;NOUVEAU
tart;7018;NOUVEAU
creamy;7015;NOUVEAU
flavor;6945;NOUVEAU
great;6896;NOUVEAU
which;6889;NOUVEAU
slightly;6810;NOUVEAU
syrah;6609;NOUVEAU
medium;6605;NOUVEAU
balance;6581;NOUVEAU
chardonnay;6562;NOUVEAU
big;6542;NOUVEAU
easy;6500;NOUVEAU
age;6409;NOUVEAU
delicious;6328;NOUVEAU
dried;6178;NOUVEAU
nice;6088;NOUVEAU
new;6030;NOUVEAU
best;5900;NOUVEAU
still;5895;NOUVEAU
simple;5891;NOUVEAU
aging;5677;NOUVEAU
almost;5659;NOUVEAU
tight;5603;NOUVEAU
finishes;5591;NOUVEAU
pretty;5532;NOUVEAU
give;5514;NOUVEAU
concentrated;5468;NOUVEAU
should;5462;NOUVEAU
solid;5422;NOUVEAU
alcohol;5340;NOUVEAU
imported;5289;NOUVEAU
too;5131;NOUVEAU
young;5082;NOUVEAU
earthy;5073;NOUVEAU
barrel;5025;NOUVEAU
high;5014;NOUVEAU
note;4994;NOUVEAU
yet;4985;NOUVEAU
intense;4942;NOUVEAU
tastes;4827;NOUVEAU
time;4809;NOUVEAU
much;4710;NOUVEAU
wines;4681;NOUVEAU
