clean_desc,variety
oak red cherry fruit,Cabernet Sauvignon
white pear,Sauvignon Blanc
oak fruit black cherry,Pinot Noir
black citrus,Pinot Noir
acidity fruit,Pinot Noir
cherry vanilla,Pinot Noir
vanilla fruit,Pinot Noir
mineral acid black cherry mineral,Pinot Noir
rich,Chardonnay
oak,Cabernet Sauvignon
vanilla fruit,Tempranillo
fruit wood rich,Malbec
cherry acidity crisp cherry,Pinot Noir
red,Rosé
vanilla oak,Tempranillo Blend
white white acidity butter,Chardonnay
fruit cherry black fruit acid,Pinot Noir
white,Chardonnay
red,Pinot Noir
oak,Pinot Noir
black fruit,Pinot Noir
earth black fruit,Syrah
oak apple lemon,Chardonnay
earth cherry pepper,Sangiovese
red,Sparkling Blend
fruit,Chardonnay
berry black cherry,Sangiovese
red berry cherry black pepper red,Sangiovese
red berry cherry white pepper acidity,Sangiovese
cherry black white pepper,Red Blend
earth fruit,Petite Sirah
berry black cherry white pepper,Red Blend
fruit,Syrah
black cherry pepper,Red Blend
earth berry red cherry,Sangiovese
cherry fruit structure,Cabernet Sauvignon
berry black cherry vanilla,Sangiovese
fruit,Cabernet Sauvignon
red vanilla,Sangiovese
structure,Sauvignon Blanc
light acidity red berry,Pinot Noir
white creamy vanilla oak,Chardonnay
wood cherry light,Cabernet Sauvignon
citrus,Sauvignon Blanc
dry light honey,Riesling
berry,Red Blend
oak,Malbec
acid black cherry,Pinot Noir
wood berry vanilla,Malbec
wood black,Portuguese Red
light,Syrah
crisp lemon mineral,Chardonnay
black,Cabernet Sauvignon
black cherry fruit,Pinot Noir
cherry vanilla fruit oak,Cabernet Sauvignon
spicy,Cabernet Sauvignon
light cherry,Pinot Noir
red berry earth black cherry,Nebbiolo
apple pear fruit dry,Pinot Gris
berry,Portuguese Red
red fruit,Pinot Noir
dry acidity crisp citrus,Chardonnay
crisp white acidity lemon white,Sauvignon Blanc
vanilla,Cabernet Sauvignon
fruit black cherry,Nebbiolo
black cherry fruit,Pinot Noir
red cherry black cherry cherry,Cabernet Sauvignon
berry vanilla white pepper red cherry,Nebbiolo
red cherry,Nebbiolo
berry red cherry red acidity,Nebbiolo
oak vanilla oak cherry,Nebbiolo
mineral acidity crisp structure apple citrus,Chardonnay
cherry,Cabernet Sauvignon
light rich fruit cherry,Pinot Noir
light oak red cherry,Cabernet Sauvignon
